query,is_korean,translated_query,top_score,lecture_count,python_doc_count,translation_error
유닛/노드/뉴런 개념 알려줘.,True,,0.763061236,3,0,
"레이어, 층에 대해서 알려줘.",True,,0.6566450956023453,3,0,
입력층이 뭐야?,True,,0.6704882176708584,3,0,
머신러닝이 뭐야?,True,,0.73082716,3,0,
결정트리가 뭐야?,True,,0.6491992054111406,3,0,
경사하강법 개념 알려줘,True,,0.5801917839999999,3,0,
결정트리와 랜덤포레스트의 차이점이 뭐야?,True,,0.7552891646557949,3,0,
xgboost 모델에 대해 설명해줘,True,,0.75419539,3,0,
비지도 학습이 뭐야?,True,,0.6057489220000001,3,0,
랜덤포레스트가 뭐야?,True,,0.6506980874236168,3,0,
파이썬에서 숫자 연산하는 방법,True,arithmetic operators addition subtraction multiplication division floor division modulo operator power operator,0.7435198864469539,0,3,
정수 나눗셈과 나머지 연산자 사용법,True,integer division floor division // modulo operator % arithmetic operators,0.7542280779999999,0,3,
문자열 슬라이싱 하는 법,True,string slicing syntax string literal brackets [] substring indexing slicing operator,0.6757566342252819,0,3,
리스트 컴프리헨션이란,True,list comprehension syntax iterable for loop expression brackets [],0.6872900013521939,0,3,
if elif else 조건문 사용법,True,if statement elif else conditional expression control flow boolean expression comparison operators,0.6317703363636364,0,3,
for문에서 range 함수 사용하는 방법,True,for statement range() function iterable loop control flow sequence types,0.6286598780000001,0,3,
함수 정의하는 방법 def 키워드,True,function definition def keyword parameters arguments return statement callable,0.6738402485556476,0,3,
람다 함수 사용법,True,lambda expression anonymous function def keyword parameters return statement function definition,0.736450189720058,0,3,
딕셔너리 리터럴 사용법,True,dictionary display dict literal key value pairs curly braces {} dict.get(),0.70092292,0,3,
모듈 임포트 하는 방법,True,import statement from import module namespace standard library __init__.py package directory,0.690346842144979,0,3,
try except 예외 처리하는 방법,True,try except exception handling built-in exceptions KeyError ValueError IndexError traceback,0.65821262,0,3,
